"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SOAT1",2.97263822719051e-19,0.336672291557887,0.131,0.042,4.66882559962541e-15
"IFI16",6.78586125141774e-19,0.395706115992053,0.155,0.055,1.06578736814767e-14
"MLXIP",9.77771658682661e-19,0.438310743767539,0.176,0.067,1.53568816712699e-14
"NCOR2",1.06053385264822e-18,0.518433848495634,0.338,0.176,1.6656744689693e-14
"ZCCHC6",1.23222414436347e-18,0.471163028732655,0.237,0.105,1.93533124113727e-14
"RHOA",1.42071040456156e-18,0.425650738477969,0.228,0.099,2.23136776140438e-14
"STX7",1.97975598371825e-18,0.4812796468244,0.271,0.128,3.10940474802788e-14
"ARID5A",3.41658821895755e-18,0.307013970974547,0.118,0.036,5.36609345669472e-14
"CPM",3.9834930759503e-18,0.462748876854436,0.262,0.123,6.25647422508754e-14
"BTBD1",4.7239174494213e-18,0.417131031285198,0.213,0.09,7.4193847460611e-14
"LPAR1",4.95561956305781e-18,0.423046932113132,0.355,0.186,7.78329608573859e-14
"KIAA0922",7.37335562872654e-18,0.29144227039511,0.101,0.029,1.15805923504779e-13
"OSBPL3",7.48045101856072e-18,0.485654191635225,0.243,0.111,1.17487963697515e-13
"NAA20",1.83064830944631e-17,0.386594264962011,0.125,0.041,2.87521623481637e-13
"PMEPA1",2.25177071152757e-17,0.395117670194253,0.166,0.063,3.5366310795252e-13
"TMEM163",5.17957164111526e-17,0.371943515712915,0.14,0.049,8.13503521953562e-13
"CBWD5",5.55977332939292e-17,0.428808135290154,0.271,0.13,8.73217999114453e-13
"IL6ST",1.15471369827564e-16,0.438956539351116,0.359,0.197,1.81359333451172e-12
"LPIN2",1.54705231383015e-16,0.432524889283243,0.275,0.135,2.42980036410163e-12
"APBA1",1.62844749831718e-16,0.400070464833417,0.348,0.187,2.55763964085696e-12
"MAPKAPK2",1.7580307244968e-16,0.330817813317898,0.2,0.085,2.76116305589467e-12
"RTTN",2.0421252076303e-16,0.596418348773985,0.237,0.113,3.20736185110415e-12
"TSPAN14",2.4435667441282e-16,0.337553748776661,0.135,0.049,3.83786592832775e-12
"PACSIN2",4.77762852314247e-16,0.417418256111771,0.325,0.17,7.50374335844757e-12
"CHD7",5.63328180060259e-16,0.439155739940096,0.355,0.197,8.84763239602643e-12
"GRB2",1.4163373339387e-15,0.440088265723786,0.254,0.124,2.22449941668412e-11
"SLC15A4",2.18940695067801e-15,0.38057100648806,0.155,0.061,3.43868255673488e-11
"RREB1",5.4460439455265e-15,0.391837866447406,0.288,0.15,8.55355662084392e-11
"KLF6",5.75773255956226e-15,0.357831126271704,0.191,0.084,9.04309475804848e-11
"CYTH3",1.90019651310411e-14,0.376430167126749,0.187,0.084,2.98444864348132e-10
"PHF20",2.73928542756336e-14,0.398449750047438,0.323,0.177,4.30232169253101e-10
"PABPC1",3.22659489935015e-14,0.364933340132649,0.299,0.16,5.06768994891935e-10
"SLC25A37",3.32424447779297e-14,0.428786344408251,0.284,0.15,5.22105837682164e-10
"BACH1",3.36540701721387e-14,0.386187554429956,0.282,0.15,5.2857082612361e-10
"HERPUD1",4.4415260467482e-14,0.344713366201064,0.183,0.082,6.97586080902272e-10
"CAP1",4.99326646886245e-14,0.347569717321439,0.172,0.074,7.84242431599537e-10
"SNCA",5.75180205624782e-14,0.335842578951677,0.185,0.083,9.03378030954283e-10
"LGMN",6.70805325121979e-14,0.268150519048956,0.103,0.035,1.05356684363658e-09
"ENTPD1",7.12035557604307e-14,0.359507285164823,0.224,0.107,1.11832304677332e-09
"MAN1A1",8.36917649065314e-14,0.475886593233594,0.318,0.18,1.31446285962198e-09
"HECA",1.34253427596816e-13,0.339828970331805,0.196,0.09,2.10858433383559e-09
"NEDD9",2.02894105567563e-13,0.391351359800003,0.243,0.125,3.18665482204415e-09
"TMCC3",2.94641150916749e-13,0.356332695576181,0.168,0.073,4.62763391629846e-09
"RAC1",3.0039179171386e-13,0.396783583869266,0.224,0.111,4.71795348065788e-09
"SLC43A2",3.5300713033768e-13,0.287964566581904,0.138,0.055,5.54432998908359e-09
"UST",4.70447440849537e-13,0.411732609918155,0.267,0.144,7.38884750598283e-09
"ATF7IP2",1.43572466924395e-12,0.397738312777834,0.245,0.129,2.25494916551455e-08
"RALY",1.45268933495351e-12,0.255918418860173,0.256,0.133,2.28159386947798e-08
"TRIM56",4.46831878017725e-12,0.25594345774831,0.103,0.038,7.01794147614639e-08
"SERTAD2",6.85471521173388e-12,0.338313832014784,0.191,0.093,1.07660157115492e-07
"GS1-114I9.3",7.00988951420823e-12,0.375996203355033,0.163,0.075,1.10097324710155e-07
"SPTLC3",7.37563386397706e-12,0.334227184780326,0.11,0.042,1.15841705467624e-07
"P3H2",8.45681611043595e-12,0.342800509831521,0.125,0.051,1.32822753830507e-07
"MPZL1",1.48663303843618e-11,0.402268226524022,0.211,0.109,2.33490585016787e-07
"IKBKB",1.60372634793764e-11,0.309554448820447,0.174,0.082,2.51881260207085e-07
"BIN1",1.6492780368742e-11,0.285725270639892,0.245,0.132,2.59035608471462e-07
"ARPC2",2.41008599878423e-11,0.372033041512495,0.232,0.126,3.78528106969051e-07
"DNAJC5",3.12146621594178e-11,0.305887148891398,0.196,0.097,4.90257483875816e-07
"MYO9B",3.35282945509685e-11,0.296202461450811,0.23,0.123,5.26595394217511e-07
"GNAI3",3.44660018597259e-11,0.380223487810135,0.187,0.094,5.41323025208854e-07
"EIF4E",3.65934338036962e-11,0.317488884205294,0.211,0.11,5.74736471320853e-07
"PDGFC",3.91436343054025e-11,0.312343557944323,0.32,0.188,6.14789920400652e-07
"IL6R",4.22620137120248e-11,0.331839139055014,0.194,0.097,6.63767187361062e-07
"PRKD3",7.75546336925404e-11,0.265819992237324,0.148,0.068,1.21807307677504e-06
"WASHC4",8.79515821650144e-11,0.299713887101153,0.234,0.127,1.38136754948372e-06
"VKORC1L1",1.66368984199055e-10,0.262226004631764,0.178,0.088,2.61299126583035e-06
"SH3GL1",1.80748508462132e-10,0.272033333356759,0.131,0.057,2.83883607390625e-06
"CACNA1D",2.42447331636227e-10,0.383510369985757,0.189,0.098,3.80787779067858e-06
"TNRC18",2.61170796787819e-10,0.299910775380483,0.31,0.186,4.10194853434948e-06
"ZC3HAV1",2.65605769714288e-10,0.349503180564809,0.114,0.048,4.17160421913261e-06
"CDH23",2.7655550499794e-10,0.253782951987509,0.144,0.067,4.34358076149764e-06
"MAP3K3",2.85319942667073e-10,0.291533541553125,0.187,0.096,4.48123501952905e-06
"EVL",3.93102401492032e-10,0.254814648910682,0.305,0.186,6.17406631783386e-06
"CNTRL",4.21743074863762e-10,0.263107913701779,0.211,0.112,6.62389673381025e-06
"ITPR1",4.4205568344725e-10,0.318531823475012,0.217,0.118,6.94292656422251e-06
"NR3C1",5.04580430114913e-10,0.324294459374926,0.312,0.192,7.92494023538483e-06
"ATP6V0E1",5.31290822652136e-10,0.334732269909349,0.247,0.141,8.34445366057446e-06
"ACTR3",7.2291439432101e-10,0.325794477099236,0.286,0.17,1.13540934772058e-05
"PRMT2",8.02502200708932e-10,0.285352295312981,0.297,0.178,1.26040995643345e-05
